County,AMI,ALI_1,ALI_2,ALI_3,ALI_4,ALI_5,ALI_6,ALI_7,ALI_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,VLI_1,VLI_2,VLI_3,VLI_4,VLI_5,VLI_6,VLI_7,VLI_8,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,MOD_1,MOD_2,MOD_3,MOD_4,MOD_5,MOD_6,MOD_7,MOD_8
Siskiyou,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Solano,112600,11850,13500,15200,16900,18250,19600,20950,22300,24050,27450,30900,34300,37050,40280,45420,50560,40050,45800,51500,57200,61800,66400,70950,75550,64050,73200,82350,91500,98850,106150,113500,120800,94550,108100,121600,135100,145900,156700,167500,178350
Sonoma,128100,13450,15350,17300,19200,20750,22250,23800,25350,26450,30200,34000,37750,40800,43800,46850,50560,44050,50350,56650,62900,67950,73000,78000,83050,70500,80550,90600,100650,108750,116800,124850,132900,107600,122950,138350,153700,166000,178300,190600,202900
Stanislaus,92600,9750,11100,12500,13900,15000,16100,17250,18350,17750,20250,24860,30000,35140,40280,45420,50560,29550,33800,38000,42200,45600,49000,52350,55750,47250,54000,60750,67500,72900,78300,83700,89100,77750,88900,100000,111100,120000,128900,137750,146650
Sutter,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Tehama,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Trinity,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Tulare,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
Tuolumne,97700,10250,11700,13200,14650,15800,17000,18150,19350,18550,21200,24860,30000,35140,40280,45420,50560,30850,35250,39650,44050,47600,51100,54650,58150,49350,56400,63450,70450,76100,81750,87400,93000,82100,93800,105550,117250,126650,136000,145400,154750
Ventura,123500,13000,14850,16700,18550,20050,21500,23000,24500,27900,31900,35900,39850,43050,46250,49450,52650,46500,53150,59800,66400,71750,77050,82350,87650,74400,85000,95650,106250,114750,123250,131750,140250,103750,118550,133400,148200,160050,171900,183750,195600
Yolo,114000,11950,13700,15400,17100,18450,19850,21200,22550,22050,25200,28350,31450,35140,40280,45420,50560,36750,42000,47250,52450,56650,60850,65050,69250,58750,67150,75550,83900,90650,97350,104050,110750,95750,109450,123100,136800,147750,158700,169650,180600
Yuba,83800,8800,10050,11300,12550,13550,14550,15550,16550,17350,19800,24860,30000,35140,40280,45420,50560,28900,33000,37150,41250,44550,47850,51150,54450,46200,52800,59400,65950,71250,76550,81800,87100,70400,80450,90500,100550,108600,116650,124700,132750
